OID	File	Portion	English	廣東話口語（Colloquial Cantonese）v1028
22	Content / Data / Events / Busstop.xnb	60367/u 0	So... You're moving into your grandfather's old cottage.#$b#It's a good house... very 'rustic'.	所以，你要搬入你阿公嘅老別墅。 #$b#呢系一個好屋……好「鄉村風格」。
23	Content / Data / Events / Busstop.xnb	60367/u 0	Rustic? That's one way to put it... $4#$b#'Crusty' might be a little more apt, though.$4	鄉村風格？呢一種講法……$4#$b#'Crusty'可能更貼切啲$4
24	Content / Data / Events / Busstop.xnb	60367/u 0	Rude!	無禮貌！
25	Content / Data / Events / Busstop.xnb	60367/u 0	Don't listen to her, @. She's just trying to make you dissatisfied so that you buy one of her house upgrades.$u	咪聽佢， @.佢只係想畀你唔滿意，噉你就買佢間屋升版之一。$u
26	Content / Data / Events / Busstop.xnb	60367/u 0	Hmmph.	好呀。
27	Content / Data / Events / Busstop.xnb	60367/u 0	Anyway... You must be tired from the long journey. You should get some rest.#$b#Tomorrow you ought to explore the town a bit and introduce yourself.#$b#The townspeople would appreciate that.	無論如何……長途跋涉，你一定好攰。你應該休息一下。 #$b#聽日你應該探索下呢個鎮子，介紹一下自己。 #$b#鎮上嘅人都會好感激。
28	Content / Data / Events / Busstop.xnb	60367/u 0	Oh, I almost forgot. If you have anything to sell, just place it in this box here. I'll come by during the night to collect it.#$b#Well... Good luck!	哦，我差啲唔記得咗。如果你有乜嘢要賣，就將佢擺喺個盒度。我會喺夜晚過嚟收貨。#$b#祝你好運！
29	Content / Data / Events / Busstop.xnb	4081148/e 47/t 1600 1900	Hi @. Thanks for coming.	你好 @. 多謝你嘅到嘅。
30	Content / Data / Events / Busstop.xnb	4081148/e 47/t 1600 1900	Well, our gear's loaded already... Looks like everything's set.	哇，我哋嘅裝備已經裝好…睇嚟一切都準備好喇。
31	Content / Data / Events / Busstop.xnb	4081148/e 47/t 1600 1900	Alright, everyone... let's get in the bus!$u	好嘞，各位……我哋上車！ $u
32	Content / Data / Events / Busstop.xnb	4081148/e 47/t 1600 1900	*gulp*... I'm starting to get really nervous.$8	*gulp*…我好緊張。
33	Content / Data / Events / Busstop.xnb	4081148/e 47/t 1600 1900	Okay, here we are... wish me luck!$u	好，我哋去……祝我好運！$u
34	Content / Data / Events / Busstop.xnb	4081148/e 47/t 1600 1900	Hey. The show was a great success! Thanks again, @.	嘿，演出好成功！我好開心。再次多謝，@.
35	Content / Data / Events / Busstop.xnb	9581348/e 2128292/t 1600 1800	Hey, there you are!$6#$b#I'm glad you decided to come. We should get going...$6	嘿，你喺呢度！ $6#$b#我好開心見到你。我哋要走了…$6
36	Content / Data / Events / Busstop.xnb	9581348/e 2128292/t 1600 1800	We're almost there...	我哋就快到啦……
37	Content / Data / Events / Busstop.xnb	9581348/e 2128292/t 1600 1800	*gulp* ...pre-game nerves...$10	*gulp*……賽前緊張，$10
38	Content / Data / Events / Busstop.xnb	9581348/e 2128292/t 1600 1800	Here, I got you another cold one...	畀你，我又畀你買咗杯凍嘢……。
39	Content / Data / Events / Busstop.xnb	9581348/e 2128292/t 1600 1800	Hey, I've been meaning to say... $6#$b#Thanks for sticking with me through everything... my anxiety, depression... you know...$6#$b#You've been a really good friend to me.$6	嘿，我一直想講……$6#$b#多謝你陪我度過一切……我焦慮，閉翳噉……
40	Content / Data / Events / Busstop.xnb	9581348/e 2128292/t 1600 1800	Anyway...  it's your first gridball game, huh?	總之……呢係你嘅第一場網格波比賽，哇？
41	Content / Data / Events / Busstop.xnb	9581348/e 2128292/t 1600 1800	$q -1 null#Well, what do you think?#$r -1 10 event_stadium1#Noisy... It makes me appreciate how peaceful it is back home.#$r -1 10 event_stadium2#Fun... Pelican Town seems really boring in comparison.	$q -1 null#你覺得點？ #$r -1 10 event_stadium1#好嘈……咁畀我好欣賞鄉下嘅寧靜。 #$r -1 10 event_stadium2#Fun…比之下，鵜鶘鎮似乎真係好悶。
42	Content / Data / Events / Busstop.xnb	9581348/e 2128292/t 1600 1800	Gahh!! Look, the Tunnelers are on the attack!$10	Gahh！睇，隧道工人緊進攻！ $10
43	Content / Data / Events / Busstop.xnb	9581348/e 2128292/t 1600 1800	Goal!!	入波！ ！
44	Content / Data / Events / Busstop.xnb	9581348/e 2128292/t 1600 1800	Goal!	入波！
45	Content / Data / Events / Busstop.xnb	9581348/e 2128292/t 1600 1800	Oh!...$10	哦！ ……$10
46	Content / Data / Events / Busstop.xnb	9581348/e 2128292/t 1600 1800	Um... Sorry... I got carried away there.$10#$b#Maybe I had one too many...	呃……對唔住，或者係我飲多咗$10#$b#……
47	Content / Data / Events / Busstop.xnb	9581348/e 2128292/t 1600 1800	Well... that was definitely a good game.$l	嗯……比賽好正。$l
48	Content / Data / Events / Busstop.xnb	9581348/e 2128292/t 1600 1800	Oh, yeah... and we won, too.$l	哇，我哋都贏咗。$l
49	Content / Data / Events / Busstop.xnb	9581348/e 2128292/t 1600 1800	Well... see you soon.$6	好……拜拜。$6
11	StringsFromCSFiles.xnb	GrandpaStory.cs.<12036/12038>	When that happens, my dear, you'll be ready for this gift.	當嗰發生嘅時候，孫女，你會準備好接受呢份禮物。
