OID	File	Portion	English	廣東話口語（Colloquial Cantonese）v1028
300	Alex	winter_Mon	You like the snow? Me... I'm just looking forward to spring.	你中意雪啊？ 我...... 我只係盼望春天嘅到來。
301	Alex	winter_Tue	Hey, can you go find Haley and tell her I said 'hi'?	你得唔得幫我同Haley問好？
302	Alex	winter_Tue_inlaw_Haley	Oh, hey. How's the married life coming along?$9	喂， 婚後生活係點？$9
303	Alex	winter_Wed	People stay indoors a lot during the winter, and do boring stuff.$s#$e#Maybe if I read a book I'd be less bored... nah.	冬天人們經常呆喺室內，做一些無聊的事情。 .$s#$e#或者如果我讀一本書，我就唔會咁無聊... 。
304	Alex	winter_Thu	When I turn pro, I'll be so rich that I'll get a vacation home in the tropics.#$e#Then I won't have to deal with these boring winters.	当我成為職業選手嘅時候，我會非常富有，我可以喺熱帶地區有一個度假屋。#$e# 我就唔使應付呢啲無聊嘅冬天。
305	Alex	winter_Fri	You came all the way through the snow to see me?#$e#I guess that makes sense.	你咁遠冒雪嚟見我？ #$e#我想這是有道理嘅。
306	Alex	winter_Sat	There's some weird people living in this town.#$e#...like that guy Sebastian. Why does he wear black all the time?#$e#I don't get it.	呢個鎮上住住啲奇怪嘅人。.#$e# 比如Sebastian。 佢做乜嘢成日着黑色衫？ #$e#我唔明。
307	Alex	winter_Sun	Hey, the gridball game is on today!#e#This might be my favorite day of the week.	嘿，今日係網格球比賽！#e# 今日可能係我一周中最鍾意嘅一日。
308	Alex	winter_Fri4	You came all the way through the snow to see me?#$e#That's nice of you.$h	你咁遠冒雪嚟見我？ #$e#你真系太定$h
309	Alex	winter_Sat6	I guess it's interesting that some people are totally different than us, you know?#$b#I don't always understand why others act the way they do, but that's fine.	我覺得好得意係有啲人同我哋完全唔同，#$b#你知唔知我沒有成日理解人點解會啖做，但唔緊要。
310	Alex	winter_Tue4	Hey, @. Could you do me a favor?$l#$b#If you see Haley, tell her I'm busy.$l#$e#Thanks.	嘿，@。 你可唔可以幫我一個忙啊？ $l#$b#如果你看到海莉，告訴佢我好忙。 $l#$e#多謝。
311	Alex	winter_Tue4_inlaw_Haley	I'll admit... I was a little jealous when you and Haley got married. But, hey... It's a chance for me to learn something new about myself.$9	我承認... 你同Haley結婚嘅時候我有點嫉妒。 但是，嘿... 係一個機會，令我對自己有新嘅認識。 $9
312	Alex	winter_Wed8	You know what? I'm going to start reading a book!	你知唔知? 我要開始讀一本書啦！
313	Alex	winter_Thu6	I wish I could control the weather.	我希望我可以控制天氣。
314	Alex	winter_Thu10	If I ever make a lot of money, I'll make sure all my friends and family are taken care of.#$e#That means you, too.$h	如果我有一日賺咗好多錢，我會確保我所有嘅朋友同家人都得到照顧。 #$e#意味住你都係。$h
428	Elliott	Introduction	Ah, the new farmer we've all been expecting... and whose arrival has sparked many a conversation!#$b#I'm Elliott... I live in the little cabin by the beach. It's a pleasure to meet you.	啊，我哋都期待緊嘅新農民...... 佢的到來引發咗好多談話！ #$b#我叫 Elliott......。 我住喺沙灘邊嘅小木屋度。 見到你好開心.
429	Elliott	Resort_Entering	That was quite the ride!	一路走來可真係唔易！
430	Elliott	Resort_Leaving	I'll see you back in the valley.	我哋喺山谷度見。
431	Elliott	Resort_Leaving_2	Hopefully a crab hasn't snuck onto my clothes again.$s#$b#Imagine crawling out of a pocket and finding yourself on a beach hundreds of miles from home!$h#$e#Hmmm... Perhaps this could make for an interesting novel...	希望蟹冇又走嚟我件衫上面。 $s#$b#想像下喺銀包入面爬出嚟，發現自己喺離家幾百咪嘅沙灘上！ $h#$e#嗯。或者呢可以做一套得意嘅小說……
432	Elliott	Resort_Chair	I'm just taking a quick break to slather some coconut oil on my body.$h	我只係稍作休息，喺身上塗抹啲椰子油。$h
433	Elliott	Resort_Bar	Gus, I'll order a round for everyone!#$b#*hic*... Oh... I don't have the G.$s#$b#Heh heh... Never mind!	格斯，我畀大家啲一輪！ #$b#*hic*……。哦，我冇G.$s#$b#嘿嘿……算啦！
434	Elliott	Resort_Wander	I've heard rumors of pirates coming to shore near here at night. They say it can get pretty wild!	我聽講有海賊夜晚嚟到呢度附近嘅岸邊嘅傳言。佢哋話呢度可以變得，好狂野！
435	Elliott	Resort	I must admit, this beach blows my own humble strand out of the water.	我一定要認，呢個沙灘比我自己嘅耷濕沙灘仲要好。
436	Elliott	Resort_2	Oh dear! Some seaweed has tangled itself in my hair.#$e#That's the trouble with relaxing on the beach.	哦，日邊！有啲海草纏住咗我。啲海草纏住我頭髮。#$e#呢就係喺沙灘上放鬆嘅，唔該。
437	Elliott	danceRejection	Excuse me... not today.$s	對唔住，今日唔得。$s
438	Elliott	divorced	...$s#$e#Why do you torment me? Can't you see you've shattered all my hopes and dreams?$s	……$s#$e#點解你要折磨我？你冇睇到你已經粉碎咗我所有希望同夢想？$s
439	Elliott	dumped_Guys	Go away. I can't bear to see you.$s	行開啦。我唔想見到你。$s
440	Elliott	secondChance_Guys	You've hurt me beyond measure... but I'm willing to leave the past behind us.$s	你對我傷害系唔因住嘅，但我想將過去留喺我哋身後。$s
441	Elliott	breakUp	Ah... the wilted bouquet. A sight I'd hoped to never see...$s#$b#I suppose there are other horizons to set my eyes upon...$s	呀……枯萎嘅花束。我希望永遠唔會睇到嘅景象……$s#$b#我想仲有其佢嘅地平線可唔可以畀我對眼睇到……$s
442	Elliott	Mon	I'm kind of new to this town myself, but I really feel at home.$h#$e#I moved here only a year before you.	我自己對呢個鎮子都有啲生暴，但我真係有間嘅感覺。 $h#$e#我只比你早年搬離呢度。
443	Elliott	Mon4	I hope you've come to think of this place as 'home'.	我希望你已經將呢個地方是咗'家'。
444	Elliott	Tue	A great idea can pass through your head when you least expect it... but if your mind is too busy you might miss it.#$e#Well, I really must get back to my work.	一個大諗法會喺你最意想不到嗰陣經過你頭腦……但如果你頭腦好忙，你可能會錯過佢。 #$e#好啦，我真係要返工啦。
445	Elliott	Tue6	The sweet friction of pen and paper is the music of my soul.$u#$b#That's why I chose this beach as my home, so that I could have peace and quiet to do my work.	筆同紙嘅甜蜜摩擦系我靈魂音樂。 $u#$b#呢就係點解我揀呢個沙灘作為我屋企，啖我就可以有安靜嘅環境嚟做我做野。
446	Elliott	Wed	The forest is a wonderful place. Have you been there?	森林系一個美妙嘅地方。你去咗邊呀？
447	Elliott	Wed8	Sorry, I'm feeling morose today.$s#$e#I wish there was more certainty about the future.$s#$e#I don't want to grow old as a lonely hermit on this beach...$s	對唔住，今日我覺得好喪氣。 $s#$e#我希望對未來有多啲嘅揸拿。 $s#$e#我唔想喺呢片沙灘上成個孤獨嘅隱士一樣變老……$s
448	Elliott	Thu2	I can't seem to find the inspiration to begin writing my novel...$s	我似乎搵唔到開始寫嘅小說嘅靈感……$s
449	Elliott	Thu4	I've been feeling hopeful lately. Perhaps the weather is changing.	我呢排都覺得有希望。或者天氣喺變化。
450	Elliott	Thu6	Sometimes I wonder if I might just have an inflated self-image and no real skills...$s#$e#No, no... I'm not fishing for compliments. Though they are appreciated...	有時我諗，我可能係自我形象膨脹，冇真正嘅散手……$s#$e#唔係…。我並唔係喺尋求贊。雖然佢哋好感激……
451	Elliott	Thu8	#$1 elliottApol#It's a little lonely out here on the beach... so I apologize if I was ever a little too forward with you when we first met. I was just eager to have a friend.$k#$e#It feels good to have a close friend like you.	#$1 elliottApol#呢度嘅沙灘有啲寂寞，所以如果我哋第一次見面，我對你有啲太過投怀，唔好意思。我只係想有一個朋友。 $k#$e#有你咁個親密嘅朋友感覺好好。
452	Elliott	Thu	Hello, @.#$e#Are you well?	你好，@.#$e#你幾好嗎？
453	Elliott	Fri	The fresh air of this valley is good for body and mind.#$e#A quick stroll outdoors always invigorates me.	呢個山卡罅嘅新鮮空氣對身體同心靈都有著數。 #$e#喺戶外趕漫步總能畀我精神振奮。
454	Elliott	Fri4	Ah... do not get too close to my hair with a torch...$8	啊……唔用電筒太埋我啲頭髮……$8
455	Elliott	Fri8	I'll admit... it takes me several hours each morning to make my hair look this good.	我認……我每朝早要花好幾個鍾先至我啲頭髮攪到咁好睇。
456	Elliott	Sat	You probably wouldn't like it inside my cabin. It's dark and full of spiders.$s	你可能唔鍾意我小屋裡面。嗰度好黑，而且周圍都係蠄蟧。$s
457	Elliott	Sat4	Please excuse the sorry state of my cabin.	請原諒我小屋嘅衰嘢。
458	Elliott	Sat6	Some people are shy. Keep showing interest in them and they'll get comfortable around you.#$e#Everyone likes to have friends, even that grumpy blacksmith.	有啲人好怕醜。繼續表現出對佢哋嘅興趣，佢哋就會喺你身邊變得舒服。 #$e#個個都鍾意有朋友，就算系嗰個躁嘅打鐵佬。
459	Elliott	Sun	Hello. I hope your new farming life is panning out as you'd hoped?	你好。我希望你新農業生活，正如你所希望嘅啖發展？
460	Elliott	Sun6	Oh, @! I was hoping you'd show up.#$e#It's always a pleasure to see you.$h	哦，@！我正希望你會出現。 #$e#見到你成日都好開心。$h
461	Elliott	event_idea1	Mystery, huh? It's definitely an exciting genre. I'll remember that.	懸疑片，哇？呢絕對系一個令人興奮嘅類型。我會記住呢一啲嘅。
462	Elliott	event_idea2	Ah, one of the classic genres. I'll remember that.	啊，經典流派之一。我會記住嘅。
463	Elliott	event_idea3	I would've never guessed! I suppose even those of the 'earthiest' profession sometimes have their heads in the stars.$h#$b#I'll remember that.	我從來冇估到過我想就算系嗰啲“最接地氣”嘅職業，有時都會把頭壅喺星星度。$h#$b#I我會記住嘅。
464	Elliott	event_boat1	... I was worried you might not feel this way about another man.$l^So am I.$l	…我擔心你對另一個男人冇呢種感覺呢。$l^我都係。$l
465	Elliott	event_boat2	Oh! I'm so sorry.$8%fork	哦！我好對唔住。 $8fork
466	Elliott	event_toast1	Well...okay.#$b#Here's to @!	嗯……好啦。 #$b#呢係為@！
467	Elliott	event_toast2	That's a great idea!$h#$b#Here's to us!	哩個好主意！ $h#$b#為我哋飲杯！
468	Elliott	event_toast3	Hmmph...forget it.$a	嗯哼……算啦。$a
469	Elliott	event_toast4	Ah, to a harmonious future for the community... what a virtuous idea.#$b#Here's to Pelican Town!	啊，為咗議員嘅和諧未來……多好橋。 #$b#為鵜鶘鎮飲杯！
470	Elliott	summer_Mon	A gentle little sunbeam woke me up this morning. I've never felt so refreshed.$u#$e#I'm sorry if that isn't very interesting to you.	今日朝早，一扎溫柔嘅小太陽光將我叫醒。我從未仲系咁清爽。$u#$e#我好對唔住，如果呢對你嚟講唔係好得意。
471	Elliott	summer_Mon4	I know that I am kind of an 'oddball'.#$e#I hope you don't mind.$h	我知道我係一種'怪人 '。#$e#我希望你唔介意。 $h
